"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202;6,146635707
6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961;8,155501202
3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258;9,038186961
2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765;9,090437258
-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963;7,603206765
-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423;6,754500963
-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376;5,402580423
-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012;4,61131376
-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082;5,888074012
-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073;6,130600082
-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389;6,859722073
-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148;6,146938389
-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012;3,571164148
-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392;2,012260012
-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071;-0,235259392
-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231;-1,239664071
0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566;-2,859435231
0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793;-3,08129566
1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222;-1,812140793
2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746;-1,116613222
2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718;-0,634470746
3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539;-0,695124718
3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165;-0,567040539
3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293;-0,442818165
4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847;-0,167678293
3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536;-0,516552847
5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096;0,536663536
7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933;0,830278096
9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249;1,114769933
10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678;2,215039249
10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951;2,658673678
11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078;3,743379951
10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252;3,909497078
7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766;3,904935252
6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658;4,192064766
6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157;3,745977658
8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826;5,668490157
7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402;7,787947826
6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308;9,741826402
7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122;10,450861308
5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089;10,065514122
4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368;11,687502089
2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217;10,647001368
2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331;7,992762217
0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884;6,568333331
-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371;6,986626884
-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849;8,595089371
-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011;7,069082849
-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287;6,600496011
-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175;7,077777287
0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081;5,889307175
1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043;4,839383081
1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078;2,478463043
1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408;2,000271078
-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209;0,316755408
-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499;-1,01960209
-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408;-1,560530499
-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671;-1,889917408
-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481;-0,984400671
-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598;-1,151497481
-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046;0,843402598
-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848;1,600339046
-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498;1,388414848
-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109;1,081223498
-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153;-0,41542109
-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548;-1,641975153
-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253;-3,593736548
-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276;-5,308742253
-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044;-5,170450276
-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483;-4,889756044
-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981;-3,739525483
-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649;-3,137605981
-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913;-2,889649649
-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775;-2,90201913
-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321;-5,422005775
-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034;-7,056803321
-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522;-7,772419034
-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241;-7,183166522
-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271;-5,674447241
-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886;-4,058304271
-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189;-1,951848886
-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521;-1,015707189
-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347;-1,177574521
-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496;-4,01616347
-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162;-6,967786496
-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616;-9,194979162
-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604;-9,535055616
-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333;-9,782862604
-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822;-10,584971333
-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509;-8,304719822
-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111;-9,414043509
-5,249342574;-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897;-10,517608111
-6,220726122;-5,249342574;-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829;-12,691479897
-7,167292657;-6,220726122;-5,249342574;-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962;-13,409506829
-6,390039221;-7,167292657;-6,220726122;-5,249342574;-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971;-12,640251962
-4,742930986;-6,390039221;-7,167292657;-6,220726122;-5,249342574;-5,939797429;-5,796923458;-5,45132347;-7,849934671;-10,721297537;-13,533377971
