"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359;-0,147
1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074;-0,359
-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347;-0,074
-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484;-0,347
-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276;-0,484
-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243;-0,276
-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131;-0,243
-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063;-0,131
0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108;-0,063
0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002;0,108
0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763;0,002
0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271;0,763
-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379;1,271
0,086;-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101;-0,379
0,122;0,086;-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194;-0,101
0,695;0,122;0,086;-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101;-0,194
0,721;0,695;0,122;0,086;-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676;-0,101
0,638;0,721;0,695;0,122;0,086;-0,214;0,036;0,122;0,494;0,173;-0,288;-0,676
-0,15;0,638;0,721;0,695;0,122;0,086;-0,214;0,036;0,122;0,494;0,173;-0,288
