"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614;3,226827104
16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348;4,446160614
15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699;4,735213348
16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907;5,306834699
17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835;5,961016907
18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777;8,327163835
18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348;11,531327777
17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656;13,65132348
15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888;14,35579656
12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747;14,257578888
11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525;15,433479747
11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043;16,315491525
9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733;15,780710043
6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192;16,310159733
6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493;17,437488192
4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938;18,660603493
2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379;18,756584938
1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504;17,247497379
0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506;15,070539504
1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965;12,457640506
0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414;11,826009965
-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927;11,073552414
-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419;9,069353927
-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197;6,917251419
-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676;6,058175197
-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673;4,328776676
-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372;2,949465673
-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597;1,494062372
-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006;0,848773597
-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956;1,160158006
-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651;0,580736956
-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391;-0,172115651
-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761;-0,80869391
-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634;-1,399821761
-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395;-2,793472634
-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207;-2,75033395
-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428;-3,708403207
-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546;-3,782035428
-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573;-3,808532546
-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134;-4,154946573
-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197;-4,779581134
-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383;-6,483386197
-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051;-8,210761383
-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365;-10,592456051
-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517;-11,946559365
-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503;-11,511944517
-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689;-10,320772503
-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401;-8,56409689
-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661;-6,960323401
-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051;-7,373854661
-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555;-8,07251051
-22,226535513;-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992;-8,949993555
-23,192369433;-22,226535513;-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737;-11,199329992
-23,225223295;-23,192369433;-22,226535513;-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433;-12,642233737
-21,838097793;-23,225223295;-23,192369433;-22,226535513;-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502;-13,253283433
-20,135341046;-21,838097793;-23,225223295;-23,192369433;-22,226535513;-19,712587273;-16,381830005;-12,320883292;-11,762545854;-10,798569793;-11,486904502
