"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447;-0,374
0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262;-0,447
0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608;-1,262
-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831;-1,608
-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39;-1,831
-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745;-2,39
-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404;-2,745
-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555;-2,404
-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897;-1,555
-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402;-0,897
-1,587;-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15;-0,402
-2,091;-1,587;-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639;0,15
-2,183;-2,091;-1,587;-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323;0,639
-2,4;-2,183;-2,091;-1,587;-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445;0,323
-2,327;-2,4;-2,183;-2,091;-1,587;-1,656;-2,053;-2,155;-2,129;-1,692;-1,218;-0,445
