Period;YA;YN;YM;YS;YW
1997M10;0,492782555;-0,407877433;-0,685912051;0,065420255;-0,944260904
1997M11;1,13053644;-0,708779142;0,241576518;-0,567235384;2,199124215
1997M12;1,243489722;0,510210696;1,001682356;-0,347976034;0,368988026
1998M01;0,902554754;0,454503527;0,724013374;0,117666324;-1,223610455
1998M02;1,263821725;-1,388213435;-0,502805736;-0,237689993;1,736387152
1998M03;0,925407004;-1,971743856;-1,389831818;-0,257330998;1,772971672
1998M04;0,381450499;-0,985837784;0,034043048;-0,059141945;-1,084140373
1998M05;0,622831528;0,002276624;2,220975594;-0,514628783;-0,029936589
1998M06;1,689055698;-0,18800179;1,49650653;-0,511143958;1,709680677
1998M07;0,127252055;-0,562036478;-0,776705512;-0,06108411;-1,422539362
1998M08;0,49939681;-1,241933298;-0,365523603;-0,733987837;0,194000373
1998M09;1,654829958;-0,876328636;1,015983232;-0,222298072;1,782685909
1998M10;0,753738394;0,874495126;0,969859466;0,649305156;-1,352523658
1998M11;1,895268248;0,596309537;0,208801324;-0,416608605;0,118092826
1998M12;1,370637247;-0,651908394;-0,061677703;-0,245854856;-0,502279536
1999M01;0,909281284;-1,181678727;0,681151247;0,097790248;-0,770919486
1999M02;1,48267733;-1,514838856;1,051175366;-1,292019922;3,672880738
1999M03;0,962747935;-0,854860589;-0,45022722;-0,511998715;0,000453777
1999M04;-0,605793927;0,075429088;-1,316966184;1,28017466;-5,345887247
1999M05;1,352382434;-1,142928526;0,437267758;-0,091565486;1,960636403
1999M06;1,539650962;-2,312127841;1,587091631;-0,912841805;4,321229068
1999M07;0,813308902;-1,634733861;0,268702351;0,159168194;-1,538717506
1999M08;1,095324922;-1,006237227;-0,67388128;0,09468691;-1,439601695
1999M09;0,153884856;-0,935501163;-0,223562208;0,385350293;0,573170618
1999M10;0,702346243;-1,560313878;0,289382858;0,570052804;-0,322411431
1999M11;1,275361317;-2,223590001;0,533402063;-0,236439366;-0,676358302
1999M12;1,161630988;-2,371930901;0,389939623;-0,788291259;2,009152727
2000M01;0,977457939;-1,38639761;-0,431426689;-0,389007114;2,476945302
2000M02;0,65950884;-0,165242369;-0,540446307;0,824276568;-3,300282836
2000M03;0,254598701;-1,024825372;0,880423372;0,819226587;-3,674621625
2000M04;2,288486292;-2,660893263;1,588252191;-1,162655887;4,98259005
2000M05;1,615069297;-2,07657878;-0,190683185;-0,759749764;2,695300206
2000M06;0,248059797;-0,881893634;-1,333191275;1,3014768;-4,77868275
2000M07;0,164140211;-1,452336847;0,427738888;0,705640624;-0,550807929
2000M08;1,112473734;-2,119539665;1,292471167;-0,46755743;2,656299013
2000M09;-0,473178085;-1,424916688;-0,406425622;0,46346691;-2,842912103
2000M10;0,764026407;-1,74105349;-0,745166845;0,053817988;-0,113423877
2000M11;0,73438894;-2,754646394;0,48978516;-0,868491432;4,81733546
2000M12;0,893976681;-2,464608598;0,17136027;0,053226093;-0,156758427
2001M01;-0,137909623;-1,129819983;-1,066558949;1,146071313;-5,845273198
2001M02;1,393311504;-0,635915762;-0,566304778;0,205149453;0,352054573
2001M03;1,879454901;-1,953133331;0,531587105;-0,554226282;4,682072753
2001M04;0,913787056;-2,56656337;0,680820758;0,211422437;-0,002249883
2001M05;0,516517056;-1,061557648;0,28456301;0,325448042;-2,555314412
2001M06;0,831523516;-1,358525877;-0,442057102;0,284597667;-0,702729405
2001M07;1,774351449;-2,962182077;-0,894431151;0,702712927;0,297010257
2001M08;1,703503568;-2,62452936;0,262297746;-0,612710637;2,964586281
2001M09;3,270041559;-1,515583855;1,458550697;-1,349181732;3,539406069
2001M10;0,171847307;-1,215117043;0,133096275;0,273458443;-4,080157344
2001M11;1,928183023;-2,03868201;-1,050477554;0,912760726;-0,270398756
2001M12;2,294558149;-1,135615321;-0,021566762;0,27735046;4,797456751
2002M01;1,740356749;-1,621785674;1,009118943;-0,503964585;1,679861406
2002M02;1,401195326;-3,680108846;0,523432125;-0,398365481;-0,101990339
2002M03;1,112124925;-3,050835196;-0,901819394;1,085066281;-1,415294944
2002M04;0,618248717;-1,659371738;-1,737907819;1,411833445;-1,896600682
2002M05;1,958462217;-1,624044921;-0,810187491;-0,243965113;1,823886409
2002M06;1,480709497;-3,036390587;0,449800184;-0,150184908;1,71753248
2002M07;1,103427197;-3,869089236;0,326955095;1,0822453;-0,645643313
2002M08;1,141364792;-2,501408583;-0,618672825;0,436437436;0,338976676
2002M09;1,384812402;-1,674791791;-0,960261319;-0,483092516;0,892141059
2002M10;1,716510991;-2,313295817;-0,196136211;-0,271726044;-0,59496273
2002M11;2,055388646;-2,533041415;0,75927147;0,241234128;1,583402222
2002M12;1,886975523;-1,519157257;0,564010116;0,312966156;3,732698897
2003M01;0,845273462;-0,860033602;-0,708679692;0,421335848;-1,232326495
2003M02;-0,00722945;-0,81042969;-1,257088501;0,877349579;-4,542088133
2003M03;0,381220686;-1,363778879;-0,253578575;0,20717138;1,237755987
2003M04;2,041288315;-2,578888921;0,736814851;-0,794237858;5,574091788
2003M05;2,162326197;-1,789581792;0,105549185;-0,218075483;1,107950836
2003M06;1,72545846;-0,513804147;-0,989465786;0,634357667;-0,890971855
2003M07;1,354673553;-0,287053191;-0,630342141;0,365984649;1,794105877
2003M08;1,358687994;-1,133016012;-0,040365508;0,064930716;0,615096063
2003M09;1,400154835;-2,207982905;-0,309342426;0,871055422;-1,188316629
2003M10;2,397966879;-2,403154223;-0,455312569;0,767514675;2,131834874
2003M11;1,674939939;-1,800277159;-0,577160733;-0,423172407;3,510589861
2003M12;1,346569083;-1,277378525;-0,899403698;-0,56116509;1,16913176
2004M01;0,663282115;-1,273014354;-0,645933839;0,209766193;-0,661979697
2004M02;1,297037167;-0,783692669;0,28805005;-0,088820078;1,65774249
2004M03;1,605274673;-0,550080675;0,213182312;-0,749049079;3,996124332
2004M04;1,875764008;-1,9831884;-0,90217379;-0,364637668;3,324134447
2004M05;1,944253505;-1,825025834;-1,079840704;0,026021247;1,083608937
2004M06;1,963394173;-0,986655257;-0,688508349;-0,239267073;0,720287932
2004M07;2,280246966;-1,382414695;-0,762864114;-0,613639987;2,571474139
2004M08;2,10570532;-1,307921678;-1,154867187;-1,002774034;3,958408566
2004M09;1,532867127;-0,50542658;-1,448813275;-0,173284571;2,819273858
2004M10;0,698534309;-0,44878766;-0,899781273;0,853756306;-0,332597382
