CCV1;CCV2;CCV3;CCV4;CCV5;CCV6;CCV7;CCV8;CCV9;CCV10
8,965709876;11,46674416;6,887883444;0,431065257;194,344299;3591,049157;5,369557077;2,270575691;6,273187951;6,751897956
6,264637952;9,586579442;4,968366407;0,422942548;321,3810638;2967,440725;8,284608897;0,948706758;1,096710195;5,585624345
6,567639895;8,957503325;6,02195063;0,388653703;721,0268391;3026,538316;7,618805386;1,09491084;1,394855052;4,134655297
5,844813899;8,523799179;4,624479291;0,40286823;366,9173787;2900,605006;7,585354279;1,174337091;1,731984444;4,20988776
5,751873406;8,45475077;4,421068485;0,392813019;275,2167779;2846,821672;7,108681927;1,281929228;2,105159538;4,141456216
5,722021449;8,428367734;4,401186547;0,397750897;1851,033054;2847,960934;6,979907401;1,481643293;2,684771563;4,187639918
6,243018805;10,50026886;4,772912735;0,539123648;365,4222009;3014,848494;14,59509964;15,98353629;12,34410765;9,438895591
6,07316366;9,012622541;8,748365739;0,5275204;294,1687354;6346,008525;23,29134742;24,03981235;23,70290526;8,88174919
7,249283759;10,0079206;5,888376979;0,34142797;286,8368809;5138,070417;29,11461872;29,72366187;29,05573457;6,845486859
5,932300937;8,724593049;4,537753491;0,479105442;193,3820336;3258,991239;28,47679333;28,48832038;26,46013942;4,62780386
8,921651752;9,966337837;10,07680432;0,357287735;184,4728542;6457,624887;30,84781601;31,23621032;30,75154584;5,403933328
9,412832121;9,236619296;15,93703009;0,463133207;184,3432409;5092,081526;31,00279537;31,13902743;30,66811608;4,866290409
6,247468886;8,697604671;6,33364563;0,391431851;183,5427786;3182,693636;6,712445837;31,84867694;31,21017606;4,939927162
6,506247612;9,221858751;4,994637145;0,452964388;233,9336132;3504,062174;2,585814835;15,43092959;6,072887877;6,559589582
6,575816525;8,600823791;7,911551984;0,468092147;1550,095505;3363,658118;4,351948926;19,84196952;8,213714973;5,097251382
5,915967152;8,816346027;4,86605784;0,465812864;966,8295187;2945,192938;9,254965577;27,70720715;11,64673241;7,769292616
6,249591562;9,163818882;4,592779881;0,362216136;1115,297063;2868,342842;12,07938913;29,50946951;12,76360731;5,427615883
6,507190191;9,172860797;5,022143868;0,414589923;2489,877497;2885,127267;14,75913837;31,46115157;15,4143013;5,30048718
5,938807209;8,732661035;4,455264087;0,415117994;439,2567597;2909,874412;8,747143245;6,146846774;6,967732658;4,888153233
5,963160528;8,481116267;5,674315236;0,392118706;260,2461257;2847,993635;6,896082692;6,976559229;7,166090851;4,13003786
5,871909197;8,51728179;4,656555812;0,426289423;227,9104489;2918,830879;4,118264914;3,766377884;2,897104252;4,618476042
6,03114543;8,475710459;7,249551746;0,483085799;188,8128919;4266,164548;6,594548867;6,811066403;7,833068946;5,415403274
14,864564;14,4980382;16,16728642;0,352933341;312,1535129;27667,36041;7,463742564;7,468937545;7,63942812;4,496040459
11,85470697;14,34313456;8,818127942;0,435059814;204,712865;6859,258089;4,77091891;4,441806511;4,746840551;4,446750955
