CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10
-1,4;-1,67;-1,15;0,59;-31;4;1,64;-0,46;0,65;2,19
0,48;0,65;0,32;-0,12;-22;0;1,71;-0,17;1,13;0,73
-1,52;-1,53;-1,47;-0,05;-73;9;1,78;0,09;0,75;0,74
-0,85;-0,63;-1,08;-0,46;-36;6;-0,24;-0,23;-0,09;-0,94
-2,03;-1,44;-2,62;0,21;-8;-5;0,47;0,19;0,82;1,21
-2,94;-3,39;-2,49;-0,13;2;75;0,46;0,46;0,46;0,92
1,34;2,19;0,47;-1,13;-6;18;-0,14;-0,14;-0,14;-1,67
-1,41;0,38;-3,19;-1,39;-9;135;-1,39;-1,39;-2,04;-3,8
-5,67;-5,47;-5,83;0,64;1;80;-0,74;-0,74;-0,69;1,51
-3,42;-3,8;-3,04;-0,11;-10;68;-0,43;-0,43;0;0,69
-4,77;-4,04;-5,49;-1,04;-23;169;-1,93;-1,93;-1,15;-1,31
4,95;5,14;4,75;-0,34;69;-71;-2,7;-2,7;-2,58;-2,94
1,19;0,91;1,48;0,08;28;2;-2,58;-2,58;-2,5;-0,43
-0,25;-0,33;-0,18;0,06;13;-2;-2,69;-2,69;-2,65;-1,14
